date,AMZN,S&P 500
2016-10-13,829.28,2132.550049
2016-10-14,822.96,2132.97998
2016-10-17,812.95,2126.5
2016-10-18,817.65,2139.600098
2016-10-19,817.69,2144.290039
2016-10-20,810.32,2141.340088
2016-10-21,818.99,2141.159912
2016-10-24,838.09,2151.330078
2016-10-25,835.18,2143.159912
2016-10-26,822.59,2139.429932
2016-10-27,818.36,2133.040039
2016-10-28,776.32,2126.409912
2016-10-31,789.82,2126.149902
2016-11-01,785.41,2111.719971
2016-11-02,765.56,2097.939941
2016-11-03,767.03,2088.659912
2016-11-04,755.05,2085.179932
2016-11-07,784.93,2131.52002
2016-11-08,787.75,2139.560059
2016-11-09,771.88,2163.26001
2016-11-10,742.38,2167.47998
2016-11-11,739.01,2164.449951
2016-11-14,719.07,2164.199951
2016-11-15,743.24,2180.389893
2016-11-16,746.49,2176.939941
2016-11-17,756.4,2187.1201170000004
2016-11-18,760.16,2181.899902
2016-11-21,780.0,2198.179932
2016-11-22,785.33,2202.939941
2016-11-23,780.12,2204.719971
2016-11-25,780.37,2213.350098
2016-11-28,766.77,2201.719971
2016-11-29,762.52,2204.659912
2016-11-30,750.57,2198.810059
2016-12-01,743.65,2191.080078
2016-12-02,740.34,2191.949951
2016-12-05,759.36,2204.709961
2016-12-06,764.72,2212.22998
2016-12-07,770.42,2241.350098
2016-12-08,767.33,2246.189941
2016-12-09,768.66,2259.530029
2016-12-12,760.12,2256.959961
2016-12-13,774.34,2271.719971
2016-12-14,768.82,2253.280029
2016-12-15,761.0,2262.030029
2016-12-16,757.77,2258.070068
2016-12-19,766.0,2262.530029
2016-12-20,771.22,2270.76001
2016-12-21,770.6,2265.179932
2016-12-22,766.34,2260.959961
2016-12-23,760.59,2263.790039
2016-12-27,771.4,2268.8798829999996
2016-12-28,772.13,2249.919922
2016-12-29,765.15,2249.26001
2016-12-30,749.87,2238.830078
2017-01-03,753.67,2257.830078
2017-01-04,757.18,2270.75
2017-01-05,780.45,2269.0
2017-01-06,795.99,2276.97998
2017-01-09,796.92,2268.899902
2017-01-10,795.9,2268.899902
2017-01-11,799.02,2275.320068
2017-01-12,813.64,2270.439941
2017-01-13,817.14,2274.639893
2017-01-17,809.72,2267.889893
2017-01-18,807.48,2271.889893
2017-01-19,809.04,2263.689941
2017-01-20,808.33,2271.310059
2017-01-23,817.88,2265.199951
2017-01-24,822.44,2280.070068
2017-01-25,836.52,2298.3701170000004
2017-01-26,839.15,2296.679932
2017-01-27,835.77,2294.689941
2017-01-30,830.38,2280.899902
2017-01-31,823.48,2278.8701170000004
2017-02-01,832.35,2279.550049
2017-02-02,839.95,2280.850098
2017-02-03,810.2,2297.419922
2017-02-06,807.64,2292.560059
2017-02-07,812.5,2293.080078
2017-02-08,819.71,2294.669922
2017-02-09,821.36,2307.8701170000004
2017-02-10,827.46,2316.100098
2017-02-13,836.53,2328.25
2017-02-14,836.39,2337.580078
2017-02-15,842.7,2349.25
2017-02-16,844.14,2347.219971
2017-02-17,845.07,2351.159912
2017-02-21,856.44,2365.3798829999996
2017-02-22,855.61,2362.820068
2017-02-23,852.19,2363.810059
2017-02-24,845.24,2367.340088
2017-02-27,848.64,2369.75
2017-02-28,845.04,2363.639893
2017-03-01,853.08,2395.959961
2017-03-02,848.91,2381.919922
2017-03-03,849.88,2383.1201170000004
2017-03-06,846.61,2375.310059
2017-03-07,846.02,2368.389893
2017-03-08,850.5,2362.97998
2017-03-09,853.0,2364.8701170000004
2017-03-10,852.46,2372.600098
2017-03-13,854.59,2373.469971
2017-03-14,852.53,2365.449951
2017-03-15,852.97,2385.26001
2017-03-16,853.42,2381.3798829999996
2017-03-17,852.31,2378.25
2017-03-20,856.97,2373.469971
2017-03-21,843.2,2344.02002
2017-03-22,848.06,2348.449951
2017-03-23,847.38,2345.959961
2017-03-24,845.61,2343.97998
2017-03-27,846.82,2341.590088
2017-03-28,856.0,2358.570068
2017-03-29,874.32,2361.1298829999996
2017-03-30,876.34,2368.060059
2017-03-31,886.54,2362.719971
2017-04-03,891.51,2358.840088
2017-04-04,906.83,2360.159912
2017-04-05,909.28,2352.949951
2017-04-06,898.28,2357.48999
2017-04-07,894.88,2355.540039
2017-04-10,907.04,2357.159912
2017-04-11,902.36,2353.780029
2017-04-12,896.23,2344.929932
2017-04-13,884.67,2328.949951
2017-04-17,901.99,2349.01001
2017-04-18,903.78,2342.189941
2017-04-19,899.2,2338.169922
2017-04-20,902.06,2355.840088
2017-04-21,898.53,2348.689941
2017-04-24,907.41,2374.149902
2017-04-25,907.62,2388.610107
2017-04-26,909.29,2387.449951
2017-04-27,918.38,2388.77002
2017-04-28,924.99,2384.199951
2017-05-01,948.23,2388.330078
2017-05-02,946.94,2391.169922
2017-05-03,941.03,2388.1298829999996
2017-05-04,937.53,2389.52002
2017-05-05,934.15,2399.290039
2017-05-08,949.04,2399.3798829999996
2017-05-09,952.82,2396.919922
2017-05-10,948.95,2399.6298829999996
2017-05-11,947.62,2394.439941
2017-05-12,961.35,2390.899902
2017-05-15,957.97,2402.320068
2017-05-16,966.07,2400.669922
2017-05-17,944.76,2357.030029
2017-05-18,958.49,2365.719971
2017-05-19,959.84,2381.72998
2017-05-22,970.67,2394.02002
2017-05-23,971.54,2398.419922
2017-05-24,980.35,2404.389893
2017-05-25,993.38,2415.070068
2017-05-26,995.78,2415.820068
2017-05-30,996.7,2412.909912
2017-05-31,994.62,2411.800049
2017-06-01,995.95,2430.060059
2017-06-02,1006.73,2439.070068
2017-06-05,1011.34,2436.100098
2017-06-06,1003.0,2429.330078
2017-06-07,1010.07,2433.139893
2017-06-08,1010.27,2433.790039
2017-06-09,978.31,2431.77002
2017-06-12,964.91,2429.389893
2017-06-13,980.79,2440.350098
2017-06-14,976.47,2437.919922
2017-06-15,964.17,2432.459961
2017-06-16,987.71,2433.149902
2017-06-19,995.17,2453.459961
2017-06-20,992.59,2437.030029
2017-06-21,1002.23,2435.610107
2017-06-22,1001.3,2434.5
2017-06-23,1003.74,2438.300049
2017-06-26,993.98,2439.070068
2017-06-27,976.78,2419.3798829999996
2017-06-28,990.33,2440.689941
2017-06-29,975.93,2419.699951
2017-06-30,968.0,2423.409912
2017-07-03,953.66,2429.01001
2017-07-05,971.4,2432.540039
2017-07-06,965.14,2409.75
2017-07-07,978.76,2425.179932
2017-07-10,996.47,2427.429932
2017-07-11,994.13,2425.530029
2017-07-12,1006.51,2443.25
2017-07-13,1000.63,2447.830078
2017-07-14,1001.81,2459.27002
2017-07-17,1010.04,2459.139893
2017-07-18,1024.45,2460.610107
